protein_id,class_id
3tam_1_A_A_model1,32
3j3y_1_HQ_6b_model1,8
6bnp_2_H_B_model1,90
7u53_3_C_C_model1,14
6y9x_1_J_d_model1,8
3j3q_1_W_in_model1,8
6kvd_4_E_C_model1,14
4qlc_5_E_C_model1,14
5t62_9_I_H_model1,5
6zkp_40_OA_v_model1,81
6yn1_1_A_A_model1,14
3ztj_2_B_B_model1,53
4u4u_24_YC_d2_model1,17
4uo5_2_B_B_model1,51
7oh3_9_I_E_model1,5
8wm6_3_C_C_model1,43
6zp5_1_A_A_model1,72
2w6e_3_G_G_model1,38
7lyc_3_F_H_model1,56
3j3q_1_XK_jx_model1,8
3j3y_1_BF_1t_model1,8
3j3y_1_QS_cg_model1,8
3azm_4_D_D_model1,56
3j3y_1_KI_8U_model1,8
7qxw_32_FA_T_model1,33
1ga9_1_B_B_model1,54
7v5m_13_M_a_model1,92
3utb_4_H_H_model1,70
7otz_1_C_C_model1,47
7w3h_19_QA_S_model1,92
6kwy_11_K_K_model1,60
7nao_10_J_J_model1,69
3j3q_1_DWA_4E_model1,8
3j3y_1_WJA_gh_model1,8
6i7o_8_QD_YM_model1,5
6jr1_3_C_C_model1,14
9fgq_4_I_G_model1,14
3j3y_1_BR_2G_model1,8
3c9k_2_F_F_model1,56
3j3q_1_MTA_bA_model1,8
7zqd_3_C_C_model1,43
1myg_1_B_B_model1,88
4a0v_1_J_J_model1,66
6m8h_1_A_A_model1,94
4v88_19_S_AR_model1,0
7u4d_3_C_C_model1,31
3j3q_1_IZ_8S_model1,8
7nad_8_H_P_model1,37
3j3q_1_BL_2B_model1,8
6upw_2_D_B_model1,90
3j3q_1_AT_1b_model1,8
6gsn_39_MA_V_model1,23
6n8n_32_FA_k_model1,62
9c84_1_A_A_model1,54
7nkx_13_M_c_model1,40
3j3q_1_HWA_7Y_model1,8
6k1j_4_H_H_model1,56
7pfa_4_D_D_model1,79
3j6x_56_DB_S9_model1,16
3j3q_1_QI_e6_model1,8
8vfx_4_D_D_model1,56
3j3q_1_ZAA_lI_model1,8
3j3y_1_FEA_4n_model1,8
3j3q_1_LJA_a1_model1,8
7x0v_6_O_M_model1,52
6nra_8_P_P_model1,35
6uzv_3_N_C_model1,41
3j34_1_IA_O_model1,8
5tsx_1_A_A_model1,25
5lf1_10_J_J_model1,69
6y5g_2_E_D_model1,53
6tnu_13_M_W_model1,16
3azg_4_D_D_model1,56
8r8h_1_A_A_model1,15
6uc4_1_E_E_model1,90
3j3y_1_YW_iS_model1,8
8smx_4_D_D_model1,56
4j8v_3_G_G_model1,14
7qxp_27_AA_O_model1,71
3j82_2_B_B_model1,61
2g11_1_A_A_model2,88
3j3q_1_EH_4a_model1,8
6upl_4_D_D_model1,34
4u4o_53_CE_m7_model1,37
3j3y_1_HLA_6S_model1,8
2v4z_1_A_A_model1,94
3lel_3_C_C_model1,14
6snt_12_L_J_model1,16
7und_29_GA_h_model1,80
3j3y_1_VAA_fh_model1,8
7utl_1_P_P_model1,90
5vtu_2_D_D_model1,59
5dat_64_LB_N8_model1,74
5onv_1_B_B_model1,90
3j3y_1_NB_a_model1,8
6x59_4_D_D_model1,56
7bt6_22_V_X_model1,62
1p3p_4_I_G_model1,49
8ceh_64_LB_f_model1,87
8evh_4_H_H_model1,56
6m4g_5_E_D_model1,56
7xct_3_I_G_model1,14
9b0k_1_C_C_model1,90
3j3y_1_QEA_cF_model1,8
6hhq_50_ZD_s2_model1,87
3j3y_1_UB_f_model1,8
3j3y_1_MH_9t_model1,8
7w0r_26_AA_c_model1,18
8w9d_8_J_d_model1,79
7ahq_1_A_A_model1,90
2a5x_1_A_A_model1,90
3j3y_1_ZJA_is_model1,8
3j3y_1_AT_1b_model1,8
3v4i_1_C_C_model1,47
1bgy_8_S_T_model1,46
8dxg_1_A_A_model1,9
3j3q_1_DN_3w_model1,8
6vz4_4_H_H_model2,56
3j3q_1_GH_6E_model1,8
7lpx_1_A_A_model1,9
7ad9_2_H_H_model1,90
8hah_4_D_D_model1,56
5dat_19_S_C7_model1,0
6le9_3_C_C_model1,14
7xcf_1_A_A_model1,88
3azk_4_D_D_model1,56
3j3q_1_DXA_4G_model1,8
6pwe_3_C_C_model1,14
7nvn_3_L_d_model1,52
5nbl_2_C_C_model1,61
4u53_15_PC_c3_model1,91
3j3q_1_MG_ak_model1,8
5h4p_25_Y_X_model1,62
3j3q_1_FH_5P_model1,8
3c1b_4_H_H_model1,56
3j3q_1_QWA_eZ_model1,8
8euj_3_J_G_model1,40
7udt_2_D_C_model1,90
3hbt_1_A_A_model1,90
3j3y_1_RX_dT_model1,8
7zi4_10_R_P_model1,56
6e0c_3_C_C_model1,14
4v6i_9_I_AH_model1,17
7o3e_7_N_S_model1,96
8hag_4_D_D_model1,56
8rty_1_B_B_model1,61
8cdl_81_CC_x_model1,83
7scy_6_J_H_model1,56
6vz4_3_C_C_model4,40
3j3q_1_NK_bh_model1,8
5ndg_19_TC_c7_model1,0
8hak_4_D_D_model1,56
6tcl_3_MA_C2_model1,41
6qtz_22_V_W_model1,62
6tem_4_H_H_model1,93
6zvi_26_Z_E_model1,17
6fyy_25_Y_V_model1,23
3j3y_1_AKA_1K_model1,8
3j3q_1_VTA_ib_model1,8
3j6y_4_D_L1_model1,55
3j3y_1_EBA_3y_model1,8
3j81_19_S_R_model1,12
1k0t_1_A_A_model22,41
7dgj_1_B_B_model1,88
4kza_1_A_A_model1,54
3j3q_1_TZ_h7_model1,8
7xvl_3_AA_C_model1,14
6uz7_28_BA_AZ_model1,58
6k61_4_P_c_model1,41
6v92_25_HA_g_model1,14
7sls_1_A_A_model1,22
8siy_4_D_E_model1,49
6kwy_13_M_a_model1,33
3j3y_1_GG_5Z_model1,8
3j3y_1_CFA_2d_model1,8
4kg2_1_B_B_model1,54
4rtu_1_A_A_model1,48
3j3q_1_A_0_model1,8
8yti_4_H_H_model1,56
5tbw_26_SB_8_model1,62
7w3h_20_T_t_model1,33
6lab_3_C_C_model1,14
4uo7_2_B_B_model1,51
1e79_3_G_G_model1,38
3j3y_1_KAA_8F_model1,8
4e3o_1_B_B_model1,54
6bkm_2_F_F_model1,59
4a0o_1_H_H_model1,66
6nrb_6_F_F_model1,75
1p3l_4_I_G_model1,49
3j3y_1_XR_he_model1,8
9b03_1_F_F_model1,90
8euj_4_D_D_model1,80
8wmj_3_C_C_model1,43
8sff_8_H_Z_model1,75
5t0c_31_KB_BS_model1,92
1k0t_1_A_A_model28,41
6m44_3_Q_Q_model1,14
6n1z_2_E_E_model1,40
8yjf_5_G_G_model1,56
3j3q_1_QAA_ds_model1,8
3j3q_1_XUA_kH_model1,8
6la2_3_C_G_model1,14
3j3y_1_VQ_gB_model1,8
5it9_23_W_W_model1,4
4u4y_53_CE_m7_model1,37
5mei_29_CA_AA_model1,45
8evp_42_PA_AE_model1,5
7otq_5_I_H_model1,80
4wyb_1_K_K_model1,90
4dc7_1_A_A_model1,15
7bti_1_E_E_model1,90
6sv4_41_ZC_bc_model1,17
7p1g_2_K_D_model1,90
4wym_1_A_A_model1,25
8f8q_1_E_E_model1,90
7lqu_1_A_A_model1,9
7utl_1_Q_Q_model1,90
9b0k_1_D_D_model1,90
3j3q_1_SU_g8_model1,8
4u3m_63_KB_N7_model1,45
7b7d_43_QA_LH_model1,2
7ash_1_O_O_model1,8
7kc1_2_B_B_model1,51
7x0a_8_P_z_model1,75
7ea8_5_I_H_model1,56
3j3y_1_VG_fs_model1,8
5dc3_15_O_C3_model1,91
3j3q_1_CQ_3B_model1,8
8sgc_2_B_A_model1,7
3unh_12_L_L_model1,28
8i9u_2_J_J_model1,13
3j3q_1_RI_ew_model1,8
1ke3_1_B_B_model1,54
7qyb_30_RA_r_model1,60
3j3y_1_PBA_bR_model1,8
8jnd_3_C_C_model1,86
7kch_1_A_B_model1,90
4v5f_37_VC_DC_model1,11
3j3y_1_VHA_fv_model1,8
5hgl_1_E_E_model1,25
8sfe_1_B_z_model1,75
8bqx_19_S_R_model1,87
7qxw_29_QA_q_model1,69
3j3y_1_DPA_3g_model1,8
7o01_3_C_C_model1,43
6rbd_15_O_W_model1,17
7udu_1_C_C_model1,90
4u0d_1_L_L_model1,25
6snt_5_E_C_model1,87
3o87_1_A_A_model1,54
3j3q_1_NQ_bt_model1,8
5jup_5_E_E_model1,55
2hf3_1_A_A_model1,61
7xvl_4_X_l_model1,56
3j3y_1_QC_cA_model1,8
3j3y_1_UZ_fe_model1,8
7nik_3_C_C_model1,84
7vfx_2_B_A_model1,21
1o1f_4_W_W_model1,90
7xyg_1_B_G_model1,14
3j3q_1_OY_cy_model1,8
3j3q_1_UHA_hO_model1,8
6vkv_1_A_A_model1,25
3j3y_1_AP_1T_model1,8
4u4y_64_LB_N8_model1,74
8u5h_7_H_K_model1,14
3j3y_1_QE_cE_model1,8
7ohq_10_J_E_model1,5
8eue_4_D_D_model1,80
8v2o_1_B_B_model1,61
4u3u_11_LC_s9_model1,16
2rvq_2_B_D_model1,56
3j3q_1_JXA_9E_model1,8
8j7a_7_G_C_model1,43
5dgf_15_O_C3_model1,91
7x3u_3_E_D_model1,52
3j3y_1_ID_6u_model1,8
4u4r_24_YC_d2_model1,17
6z97_1_B_B_model1,89
3j3y_1_BJ_20_model1,8
7yu8_2_B_A_model1,21
6wz9_4_H_H_model1,70
7qxx_27_OA_o_model1,71
5fci_64_LB_N8_model1,74
8glv_86_SHA_Mc_model1,61
6uz7_50_XA_C_model1,65
7u47_4_H_H_model1,34
2y83_1_E_S_model1,90
5ob2_1_A_A_model1,48
3j3q_1_XO_k4_model1,8
5mlu_4_D_D_model1,56
5fcj_61_KE_n5_model1,62
5it7_65_MB_R_model1,12
3unf_12_L_L_model1,28
3j3q_1_RG_es_model1,8
6xiq_5_E_E_model1,5
6zkj_40_OA_v_model1,81
1p34_5_F_D_model1,93
7ohv_28_BA_a_model1,74
8t3w_4_D_D_model1,70
5vtz_2_D_D_model1,59
6ls8_1_F_K_model1,88
8ra4_1_A_A_model1,15
7u53_3_G_G_model1,14
8cgn_68_QB_m_model1,16
4kz5_1_B_B_model1,54
7zqd_3_W_C2_model1,43
5ndg_4_EC_s2_model1,87
7xzz_4_H_H_model1,56
3j3q_1_MB_aa_model1,8
6zpo_4_H_G_model1,38
5b33_4_D_D_model1,56
8cvt_19_SA_s_model1,92
7ohv_8_H_E_model1,5
2pbd_1_A_A_model1,90
8q47_37_LA_l_model1,81
3j3q_1_FFA_5M_model1,8
3j34_1_V_i_model1,8
8i9q_1_A_D_model1,52
3uta_4_D_D_model1,70
3h4e_1_G_G_model1,25
2jj2_3_G_G_model1,38
6m44_4_H_H_model1,56
3jam_19_S_R_model1,12
3j3q_1_XC_jh_model1,8
7v9s_4_T_V_model1,56
4rku_3_C_C_model1,43
1qz5_1_A_A_model1,90
5vfr_24_X_s_model1,92
6vau_1_D_D_model1,90
3j3y_1_Y_ho_model1,8
7xsz_29_CA_d_model1,56
3j3q_1_SJA_fo_model1,8
8cg8_33_GA_J_model1,62
8qv4_1_A_A_model1,25
3b5u_1_M_M_model1,90
7k61_4_H_H_model1,56
7wtp_8_H_SJ_model1,16
5ors_1_A_A_model1,67
1klv_1_A_A_model17,85
6uz7_29_CA_Ba_model1,50
3j3q_1_BVA_2W_model1,8
5z3g_20_T_T_model1,37
8sha_2_B_A_model1,7
3j3y_1_OKA_b0_model1,8
8ihl_3_S_S_model1,86
7w3m_17_Q_q_model1,69
4v5l_38_MA_BC_model1,11
3j3y_1_JE_7e_model1,8
3j3q_1_MN_ay_model1,8
3j3q_1_SLA_fs_model1,8
3j3q_1_CT_3H_model1,8
2mgm_1_A_A_model1,39
7wic_3_C_A_model1,64
7e8d_4_D_D_model1,56
8bzl_13_N_a_model1,33
6xir_23_W_X_model1,62
6y9w_1_F_H_model1,8
7r5r_4_D_D_model1,34
3j3q_1_JA_8U_model1,8
7a30_1_A_A_model1,48
7x0a_5_J_g_model1,24
4b3o_1_A_A_model1,32
3j3q_1_RDA_en_model1,8
8q48_37_LA_l_model1,81
7ccc_1_A_A_model1,90
3azj_3_C_C_model1,86
8agx_11_K_K_model1,62
7y66_1_A_A_model1,21
8smz_3_G_G_model1,14
5on6_27_UB_CZ_model1,62
3j3y_1_KA_8E_model1,8
7ash_1_G_G_model1,8
1klm_1_A_A_model1,22
4u4n_24_YC_d2_model1,17
4u50_64_LB_N8_model1,74
7xvm_3_Q_Q_model1,14
5txp_1_E_C_model1,32
6kdm_1_A_A_model1,32
8jh2_24_BA_d_model1,56
3une_8_JA_V_model1,3
7rmj_1_A_A_model1,25
1ke4_1_A_A_model1,54
3j3q_1_KVA_A_model1,8
8uew_37_LA_1l_model1,18
3j3y_1_TAA_eG_model1,8
8hn8_1_A_A_model1,21
7v9c_6_F_D_model1,56
8q3e_5_E_DDD_model1,56
8pkj_3_C_C_model1,14
7v9c_5_I_G_model1,14
8h0w_18_R_c_model1,86
5ndw_70_IE_S2_model1,87
4a0o_1_A_A_model1,66
3j3q_1_OVA_ct_model1,8
4kko_1_A_A_model1,9
7zs5_21_U_BQ_model1,37
8ord_1_C_C_model1,61
8i17_1_C_D_model1,14
2a40_1_A_A_model1,90
3j3y_1_LQ_9S_model1,8
6f1t_2_H_H_model1,61
7vvz_6_J_S_model1,40
8qyo_8_V_V_model1,71
7db6_1_A_A_model1,21
2cv5_4_I_G_model1,14
6t20_1_A_A_model1,90
8g57_5_E_D_model1,56
5vfs_14_MA_T_model1,33
8a5o_3_C_V_model1,61
3j3q_1_RMA_f4_model1,8
6msg_33_UA_s_model1,92
3j3q_1_ACA_14_model1,8
3j3q_1_ET_4y_model1,8
2oan_1_D_D_model1,61
7naq_13_M_a_model1,33
7u0j_4_D_D_model1,56
6usj_5_I_G_model1,86
6c5l_37_LA_BC_model1,11
5ll6_13_M_a_model1,83
6znl_2_H_H_model1,61
1mnj_1_B_B_model1,88
7w3h_15_O_o_model1,71
8d15_1_G_G_model1,90
7zdm_40_OA_v_model1,81
7dz7_3_C_C_model1,43
3j3q_1_NSA_by_model1,8
3j3q_1_UF_hJ_model1,8
8yvp_9_BA_W_model1,29
5onw_5_I_G_model1,14
7scy_6_F_D_model1,56
3j3y_1_DB_3D_model1,8
8agw_52_AB_w_model1,55
3j3y_1_GJA_5g_model1,8
7b12_1_N_M_model1,92
3j3q_1_YHA_kh_model1,8
8cf5_33_GA_J_model1,62
3j3y_1_PDA_bV_model1,8
3j3q_1_NJA_bg_model1,8
3j3q_1_EXA_56_model1,8
8rtt_1_C_C_model1,61
8g6g_4_H_H_model1,56
8bjq_30_DA_La_model1,74
4k42_1_B_B_model1,90
8evp_24_X_BR_model1,0
9b3p_4_D_D_model1,93
7nl0_3_C_C_model1,14
5vfp_14_N_t_model1,33
3wi8_1_A_A_model1,15
5oro_1_A_A_model1,67
7xx5_4_R_R_model1,56
6n8n_12_L_H_model1,5
8oi8_1_B_B_model1,61
2g14_1_A_A_model1,88
3j3q_1_YW_l9_model1,8
9azp_1_F_F_model1,90
5it9_14_N_N_model1,16
6msh_31_EA_R_model1,60
3j3q_1_INA_85_model1,8
8haj_3_G_G_model1,14
7trg_6_F_F_model1,52
3j3y_1_AQ_1V_model1,8
6cxi_1_E_E_model1,61
8xbt_4_H_H_model1,56
7wz3_5_I_G_model1,24
7nvo_4_M_z_model1,75
3j3q_1_YH_kg_model1,8
3j3q_1_GU_6e_model1,8
3c1c_4_D_D_model1,56
6r86_46_TA_I_model1,5
3j3y_1_EQA_4R_model1,8
3j3y_1_CD_2Y_model1,8
4ig0_1_A_A_model1,9
6r1t_4_D_D_model1,56
8shd_2_B_A_model1,7
7qxw_27_AA_O_model1,71
4a0v_1_A_A_model1,66
7v5m_11_Y_Y_model1,69
8jnd_3_G_G_model1,86
3lue_1_J_J_model1,61
8v2o_1_D_D_model1,61
6a5u_18_V_g_model1,86
8pc5_5_E_D_model1,70
7qim_1_B_B_model1,90
7pfw_4_H_h_model1,79
7xcr_4_D_D_model1,56
8she_2_J_a_model1,7
6i7o_21_U_Rb_model1,87
8w9f_8_N_h_model1,79
6osa_3_C_A_model1,21
4i7f_1_A_A_model1,22
3j3y_1_BV_2M_model1,8
7a5f_88_LC_n_model1,6
3nte_1_B_B_model1,8
3j3y_1_CNA_2t_model1,8
3j3q_1_ZQA_lw_model1,8
3unf_13_AA_M_model1,29
8cf5_78_ZB_t_model1,0
8han_4_H_H_model1,56
8rbx_18_R_Q_model1,14
3j3q_1_FE_5J_model1,8
5jup_52_ZA_ZA_model1,87
6z6j_64_LB_La_model1,74
7v9k_4_T_d_model1,56
7udt_2_C_B_model1,90
2cv5_5_F_D_model1,79
6bno_1_F_F_model1,90
7o3h_8_R_S_model1,96
7pfx_4_D_N_model1,79
3j3q_1_NP_br_model1,8
1nmd_1_A_A_model1,61
5dgf_63_ME_n7_model1,45
8e9b_8_M_P_model1,90
3azn_3_C_C_model1,86
6j99_4_H_H_model1,56
3j3q_1_TR_gs_model1,8
7w3c_15_LA_O_model1,71
4u0d_1_I_I_model1,25
3j3y_1_JKA_7r_model1,8
5tga_53_AB_M7_model1,37
6msg_34_HA_T_model1,33
6se6_4_D_D_model1,34
2ypg_2_B_B_model1,53
3j3q_1_ZN_lp_model1,8
6ftx_3_G_G_model1,49
7v5g_2_I_I_model1,71
3j3y_1_WR_gw_model1,8
5i4l_53_CE_m7_model1,37
3j3y_1_ZH_in_model1,8
7wtq_7_G_SJ_model1,16
4wu8_6_J_H_model1,70
8gui_4_D_D_model1,56
6m44_4_N_N_model1,56
8fdj_1_A_A_model1,39
2wss_3_G_G_model1,38
5kuy_2_B_B_model1,59
6djo_1_D_D_model1,90
8d3b_1_E_E_model1,8
3j3q_1_GY_6m_model1,8
3waa_4_H_H_model1,56
4wym_1_J_J_model1,25
8cdl_70_RB_m_model1,16
8hah_4_H_H_model1,56
3j3y_1_QG_cI_model1,8
5it7_50_XA_C_model1,65
7otk_1_A_A_model1,47
3j3y_1_RDA_cw_model1,8
5ndw_49_TC_n5_model1,62
8sht_1_A_A_model1,7
8jh3_19_W_h_model1,56
4ci6_1_A_A_model1,61
7tay_8_H_H_model1,46
1gdd_1_A_A_model1,94
5a0q_9_W_W_model1,71
3lp2_1_A_A_model1,32
7eg6_5_I_H_model1,70
6v2k_3_G_G_model1,86
8r8j_1_A_A_model1,15
5dgf_43_QA_L6_model1,5
8cgn_80_CC_y_model1,17
2fyu_8_H_H_model1,46
5dnn_3_G_G_model1,14
5zji_7_G_C_model1,43
3j3q_1_UC_hD_model1,8
3j3y_1_PY_c3_model1,8
3j3q_1_AQA_1W_model1,8
8jld_4_D_D_model1,56
5t0j_15_O_T_model1,33
5yci_1_B_B_model1,88
3j3y_1_ILA_7A_model1,8
7x3v_4_D_D_model1,93
5wyk_38_OA_SK_model1,16
7utj_1_B_B_model1,90
5l4g_8_H_1_model1,92
7r94_1_B_B_model1,90
4rw9_1_A_A_model1,32
8c01_22_V_b_model1,17
7z7i_1_C_C_model1,90
8pk3_2_H_F_model1,53
7pf5_4_H_h_model1,79
7fic_1_A_A_model1,67
5e5a_4_E_C_model1,40
5ob2_1_C_C_model1,48
8yv8_3_G_G_model1,14
8d14_1_B_B_model1,90
5z3l_4_D_D_model1,70
6slu_1_D_D_model1,8
8evp_12_L_BV_model1,83
4u4n_4_D_S2_model1,87
7w3h_20_RA_T_model1,33
7o3e_7_G_H_model1,96
6nrb_6_N_N_model1,75
7pft_4_H_H_model1,79
3kle_1_C_E_model1,32
4u4y_11_K_S9_model1,16
3j3y_1_EJ_4C_model1,8
6t24_1_B_B_model1,90
7w38_17_OA_R_model1,60
7k20_1_D_D_model1,90
3j3y_1_SKA_ds_model1,8
1vxf_1_A_A_model1,19
5f99_4_H_H_model1,70
6sv4_41_OA_bb_model1,17
8evs_63_KB_Aa_model1,74
6n8j_42_PA_Z_model1,45
7td1_3_C_A_model1,94
6zkc_40_OA_v_model1,81
5dgv_19_TC_c7_model1,0
4j8v_4_H_H_model1,70
5onv_1_E_E_model1,90
6trd_3_C_C_model1,41
5obm_67_SE_d1_model1,83
8ots_4_H_H_model1,56
4a0w_1_I_I_model1,66
5obm_8_H_L6_model1,5
8ugd_8_H_3H_model1,96
8ykx_2_B_A_model1,64
5d5r_1_A_A_model1,15
2w49_5_U_N_model1,90
7nvl_9_I_Z_model1,75
6kmx_3_C_aC_model1,41
6avo_14_AA_W_model1,33
8j22_2_B_B_model1,21
6zdj_1_D_D_model1,8
8hr1_3_C_C_model1,14
5ndg_53_AB_M7_model1,37
5dc3_11_K_S9_model1,16
3j3q_1_YC_kW_model1,8
3j3q_1_AGA_1C_model1,8
7vyg_11_K_c_model1,18
8agu_11_K_K_model1,62
3wkj_3_G_G_model1,86
8vfy_4_D_D_model1,56
3j3q_1_KK_9d_model1,8
3j3q_1_YRA_l0_model1,8
7lyc_8_K_C_model1,14
8evg_3_C_C_model1,14
4u6f_15_PC_c3_model1,91
8q0q_37_LA_l_model1,81
3azh_3_G_G_model1,86
8ugj_52_KB_3U_model1,96
2vly_1_A_A_model1,15
3j3y_1_QBA_c9_model1,8
4a0w_1_G_G_model1,66
3j3q_1_JK_8o_model1,8
107m_1_A_A_model1,88
8ugh_37_LA_1l_model1,18
6c0j_1_A_A_model1,9
2xql_1_I_I_model1,14
8evs_24_X_BR_model1,0
5avb_3_G_G_model1,86
5tgm_24_X_D2_model1,17
5tga_43_QA_L6_model1,5
8f8p_1_B_B_model1,90
5ooe_1_D_D_model1,90
7qxb_3_C_L_model1,14
7crq_4_D_D_model1,70
7u0j_3_G_G_model1,14
6m4h_6_F_D_model1,56
7xt7_29_GA_h_model1,56
3j3q_1_KC_9N_model1,8
5lyb_64_LB_N8_model1,74
3j3q_1_AMA_1O_model1,8
5oav_1_C_C_model1,48
5xth_62_KB_AE_model1,96
1o1f_4_X_X_model1,90
6ryu_3_G_G_model1,40
4b2t_7_G_Q_model1,95
8shp_4_L_d_model1,52
8agt_3_C_C_model1,37
5tgm_11_LC_s9_model1,16
3j3y_1_NBA_a0_model1,8
8cvr_9_I_I_model1,71
8ham_4_H_H_model1,56
8iai_4_S_K_model1,61
3j3q_1_XXA_kN_model1,8
3j3y_1_RV_dR_model1,8
5cne_1_A_A_model1,15
8g57_4_D_C_model1,14
7brt_1_A_A_model1,73
3j34_1_O_Z_model1,8
3j3q_1_OH_cQ_model1,8
5dge_24_YC_d2_model1,17
2jiz_3_N_N_model1,38
5yee_1_A_B_model1,90
3j3q_1_IU_8I_model1,8
4v8y_58_FB_BX_model1,62
8f8t_1_B_B_model1,90
7aii_1_A_A_model1,47
8f22_1_A_A_model1,25
3j3q_1_AA_1_model1,8
3j3y_1_CC_2W_model1,8
8civ_33_GA_J_model1,62
7b7d_6_F_R_model1,87
7of1_7_G_E_model1,5
5tbw_18_R_x_model1,37
3j3q_1_FZ_5z_model1,8
7yyh_3_C_C_model1,31
7utl_1_M_M_model1,90
5mva_1_O_O_model1,90
8a2s_1_A_A_model1,90
8qyn_13_M_M_model1,69
7nan_11_K_K_model1,60
3j3y_1_EOA_4N_model1,8
7qyb_32_FA_T_model1,33
7x3j_2_B_B_model1,13
5b0z_3_C_C_model1,86
4ko0_1_A_A_model1,9
5tsv_1_A_A_model1,25
7w4z_1_A_A_model1,90
8cvr_11_K_K_model1,69
8aaf_49_WA_w_model1,55
3j3y_1_CJA_2l_model1,8
5i4l_61_KE_n5_model1,62
4ym5_3_C_C_model1,86
3j3q_1_LR_aG_model1,8
2rvq_1_A_C_model2,14
1qz6_1_A_A_model1,90
3unb_12_Z_n_model1,28
4v8z_22_V_AN_model1,91
3j3y_1_SGA_dk_model1,8
3hc9_1_A_A_model1,88
8syp_3_C_C_model1,14
7xse_21_Y_g_model1,86
4u50_4_EC_s2_model1,87
3j3y_1_DCA_3G_model1,8
1swm_1_A_A_model1,19
6msd_28_CA_O_model1,71
8sg9_9_Q_z_model1,75
7y8r_4_H_H_model1,34
3j3y_1_VJ_fy_model1,8
8eub_58_FB_AX_model1,62
6snt_16_P_N_model1,91
1m18_5_J_H_model1,70
6ryu_4_D_D_model1,80
4u53_61_KE_n5_model1,62
1gia_1_A_A_model1,94
6t79_4_D_D_model1,79
7a34_1_A_A_model1,48
7k5x_3_C_C_model1,14
4v0u_1_B_B_model1,90
3j3q_1_ZTA_o_model1,8
3j3q_1_RQ_fB_model1,8
5kuy_2_D_D_model1,59
2yni_1_A_A_model1,22
7q08_60_HB_O_model1,16
3j3y_1_GIA_5e_model1,8
7lyc_3_C_D_model1,56
8xbt_4_D_D_model1,56
6hhq_8_H_n_model1,5
7nkr_3_C_C_model1,84
8cdl_82_DC_y_model1,17
7peu_4_U_d_model1,79
8agx_13_M_M_model1,45
6y9x_1_E_G_model1,8
3j3q_1_NUA_c1_model1,8
7b7d_13_M_W_model1,16
3j3y_1_UG_f9_model1,8
3j3y_1_ZP_m_model1,8
3j8k_1_C_C_model1,90
3j3q_1_ZPA_lu_model1,8
3j3q_1_IVA_8L_model1,8
9fh9_4_I_G_model1,14
3u9d_1_A_A_model1,90
6yn1_1_P_Z_model1,14
6bht_1_I_I_model1,25
6i7o_40_XC_ab_model1,83
6t90_3_C_C_model1,14
4u55_23_XC_d1_model1,83
5z23_4_D_D_model1,56
3j3q_1_ZG_lb_model1,8
6mse_33_GA_S_model1,92
3j3y_1_XK_hQ_model1,8
3j3q_1_LNA_a9_model1,8
3j3y_1_HF_6F_model1,8
8cku_63_KB_f_model1,87
3j3y_1_OT_bG_model1,8
5lf7_13_M_a_model1,33
4okp_1_A_A_model1,54
6ls8_1_D_G_model1,88
3rel_4_D_D_model1,70
4u0d_1_C_C_model1,25
3h47_1_A_A_model1,25
8bjq_19_S_LP_model1,37
5apn_29_CA_a_model1,74
6bmg_1_A_A_model1,88
7vuz_2_B_A_model1,21
6ke9_4_H_H_model1,56
3j3q_1_DUA_4A_model1,8
8shq_3_C_A_model1,7
5j2q_1_A_A_model1,32
8qv1_1_A_A_model1,25
1vrt_1_A_A_model1,22
6m44_3_M_M_model1,14
5i4l_43_QA_L6_model1,5
8eue_4_G_H_model1,80
7v9k_3_W_g_model1,14
7v96_5_E_C_model1,14
7u5z_1_A_A_model1,9
3j3q_1_YOA_kv_model1,8
8cze_4_D_D_model1,70
8qkt_4_D_DDD_model1,56
7xfc_3_C_C_model1,49
8a2y_1_B_B_model1,90
6qbx_50_IB_B8_model1,81
3j3q_1_CKA_30_model1,8
4ld9_3_G_G_model1,40
3j3q_1_ZK_lj_model1,8
8jh2_23_AA_c_model1,14
8jcc_3_G_G_model1,14
7dgn_1_B_B_model1,88
4eah_1_A_D_model1,90
5t0g_13_M_S_model1,92
7dgs_52_LB_s_model1,46
7w3b_17_Q_q_model1,69
5xth_26_AA_c_model1,18
7vdn_1_A_A_model1,19
4u52_53_AB_M7_model1,37
8iah_5_P_F_model1,61
3j3q_1_EG_4Y_model1,8
7x0s_1_A_K_model1,75
1hgi_2_B_B_model1,53
3j3y_1_QRA_cf_model1,8
3j3q_1_UG_hL_model1,8
3j3q_1_XQA_k9_model1,8
3j3y_1_FI_4u_model1,8
3j3q_1_IN_84_model1,8
8x1c_1_E_E_model1,31
8ca3_36_KA_l_model1,18
7qy7_27_AA_O_model1,71
7plx_3_C_C_model1,90
3j82_2_C_C_model1,61
8sn8_4_D_D_model1,56
7nep_1_A_A_model1,90
3dj6_1_A_A_model1,68
3j3q_1_HPA_7K_model1,8
8a2u_1_A_A_model1,90
1e6j_3_C_P_model1,8
4pqu_1_A_A_model1,47
3j3q_1_QCA_dw_model1,8
8thx_1_B_B_model1,61
4u4z_61_KE_n5_model1,62
3j3q_1_QLA_eD_model1,8
3jct_5_E_E_model1,5
6j4w_22_V_d_model1,56
7v9k_3_S_c_model1,14
